,Place ID,Place Name
73,ChIJJWwZcX3YJIgRvRQn8NL5MaI,"Dorsey College - Roseville, MI Campus"
74,ChIJt74AonLFJIgRZfEW09P61W4,"Dorsey College - Madison Heights, MI Campus"
75,ChIJt74AonLFJIgRZfEW09P61W4,"Dorsey College - Madison Heights, MI Campus"
76,ChIJE0fGXhY1O4gR7Mcj3c426Vo,"Dorsey College - Dearborn, MI Campus"
77,ChIJ0c1gzxdFtokRfbZQfZEJjBg,Centreville High School
78,ChIJV8uaEcB8GYgRKdwP1-FkMDM,GVSU - Muskegon Regional Center
79,ChIJKZI5O8MyHogRlJAlFWJOWiA,Central Michigan University Traverse City Center
80,ChIJjzmdDB-jGYgR-jLs4LNnA-o,Grand Valley State University
81,ChIJ7x7z4dutGYgRgFYGzy3-4Ng,Grand Valley State University: Pew Campus
82,ChIJkQbDh1HREIgRFV5MN5ILclg,Berrien Springs High School
83,ChIJee3nQ5KYSk0RUpQ7_6Ss1D0,Boyne City High School
84,ChIJjzmdDB-jGYgR-jLs4LNnA-o,Grand Valley State University
85,ChIJjzmdDB-jGYgR-jLs4LNnA-o,Grand Valley State University
86,ChIJM65x11mjGYgRJ9o6A9gkgCA,Grand valley state university
87,ChIJM65x11mjGYgRJ9o6A9gkgCA,Grand valley state university
88,ChIJL4qWeHY5Nk0RU8FM-RSVZSU,Lake Superior State University
89,ChIJKZI5O8MyHogRUTuexZgiFAE,GVSU Traverse City Regional Center
90,ChIJ7x7z4dutGYgRgFYGzy3-4Ng,Grand Valley State University: Pew Campus
91,ChIJx6A0anfxF4gRJvrsP_mj970,Kellogg Community College
92,ChIJDT_QvkgrJ4gRF0xWDm5A_0g,Iosco Resa
93,ChIJz_qGKfMgUU0RF4kp1SzKMaw,Keweenaw Bay Ojibwa Community College
94,ChIJl4U308JFNU0RiLv7aF_sxEg,Kirtland Community College M-TEC
95,ChIJB-EDKDv-IIgROPXd9jXOe00,Kirtland Community College
96,ChIJ06sg3RGoMYgRPIry8IwJ800,Kirtland Rehabilitation and Care
97,ChIJ_WsGB_qcJYgRKGlR_9LZH60,Lakewood School of Therapeutic Massage
98,ChIJZe0tCFdSO4gRony2pxOgHdw,L’esprit Academy: Canton Campus
99,ChIJZe0tCFdSO4gRony2pxOgHdw,L’esprit Academy: Canton Campus
100,ChIJgcnafCBSO4gRD8ovKjED1oo,MIAT College of Technology
101,ChIJZbFmpn8pGIgRzdEQmh-o6UA,Michigan Career & Technical Institute
102,ChIJH09QRtDeJIgR5p1Qy5O7IrY,Oakland University at MCCC University Center
103,ChIJH09QRtDeJIgR5p1Qy5O7IrY,Oakland University at MCCC University Center
104,ChIJ1VfguYo0O4gRfHU7pTbYlns,Dearborn Federation-Teachers
105,ChIJTwADdHQ1O4gRWHcjTefsvDc,University of Michigan-Dearborn
106,ChIJ87zHi5HqJIgRTXuR8VgWT6I,Human Health Building
107,ChIJP1-JSpLqJIgRmUDBbbDvlOk,Oakland University
108,ChIJXwHDxo_qJIgR77mW7tj2Ryg,Oakland University Academic Success Center
109,ChIJP1-JSpLqJIgRmUDBbbDvlOk,Oakland University
110,ChIJmZHu6FvFIogRAkYlmjwT1pg,Mason Public Schools
111,ChIJ0Ri7-6yGJIgRRNrtQIT9vDE,Reid Elementary School
112,ChIJT3Elpk5TGIgRjGyc9Yq4eGA,Kent Intermediate School District
113,ChIJmWwDnrg4I4gRiJZOYzXmqjo,Livingston Educational Service Agency
114,ChIJAebinfEgJYgRYQGlXQ_OxsE,Oakland University Anton/Frankel Center
115,ChIJsQNzXoXqJIgRXwHp8sNAGUo,Oakland University William Beaumont School of Medicine
116,ChIJsQNzXoXqJIgRXwHp8sNAGUo,Oakland University William Beaumont School of Medicine
